계약면적(㎡),보증금(만원),월세금(만원),건축년도,계약기간,도로조건_-,도로조건_12m미만,도로조건_25m미만,도로조건_25m이상,도로조건_8m미만
25.0,300,40,1997.0,12.0,0,0,0,1,0
17.0,300,35,2018.0,6.0,0,0,0,0,1
18.0,300,45,2002.0,12.0,1,0,0,0,0
23.1,300,35,2001.0,12.0,0,1,0,0,0
23.0,200,35,1991.0,12.0,0,0,0,0,1
21.45,300,35,2002.0,12.0,0,1,0,0,0
23.0,300,40,2015.0,12.0,0,0,0,0,1
20.0,100,30,2001.0,12.0,0,0,0,0,1
48.0,500,50,1985.0,12.0,0,1,0,0,0
20.0,2000,38,1993.0,24.0,0,0,0,0,1
19.0,300,40,2019.0,12.0,0,1,0,0,0
25.0,500,42,2002.0,12.0,0,1,0,0,0
17.0,300,33,2002.0,12.0,0,0,0,0,1
19.0,200,32,1996.0,11.0,0,1,0,0,0
16.0,300,50,2017.0,12.0,0,0,0,0,1
36.0,1000,30,1995.0,24.0,0,1,0,0,0
15.0,500,42,1997.0,12.0,0,1,0,0,0
21.45,300,37,2002.0,12.0,0,0,0,0,1
20.0,300,40,2004.0,12.0,0,1,0,0,0
16.53,300,30,1978.0,24.0,0,0,0,0,1
26.0,200,37,2002.0,12.0,0,0,0,0,1
23.0,500,42,2002.0,12.0,0,1,0,0,0
25.0,300,55,1997.0,12.0,0,0,0,1,0
23.1,3000,30,1984.0,12.0,0,0,0,0,1
24.0,500,42,2002.0,12.0,0,1,0,0,0
20.0,300,45,2002.0,12.0,0,0,0,0,1
18.0,100,30,1972.0,6.0,0,0,0,1,0
24.0,300,46,2001.0,12.0,0,1,0,0,0
43.44,500,40,1995.0,24.0,0,1,0,0,0
23.0,300,57,2006.0,12.0,0,1,0,0,0
17.0,300,39,2016.0,12.0,0,0,0,0,1
23.1,3000,30,2003.0,12.0,0,1,0,0,0
19.22,300,47,2002.0,12.0,0,1,0,0,0
20.0,100,23,1983.0,12.0,0,1,0,0,0
18.0,300,38,2018.0,12.0,0,1,0,0,0
25.0,300,50,2016.0,12.0,0,1,0,0,0
20.0,500,30,1996.0,12.0,0,1,0,0,0
19.0,300,45,2002.0,12.0,0,0,0,0,1
16.52,300,45,2002.0,12.0,0,1,0,0,0
20.0,200,45,2002.0,12.0,0,0,0,0,1
20.0,300,38,2002.0,12.0,0,0,0,0,1
35.0,500,51,2004.0,24.0,0,0,0,0,1
20.0,300,41,1997.0,12.0,0,1,0,0,0
19.8,300,45,2002.0,12.0,0,1,0,0,0
19.0,300,32,1996.0,12.0,0,0,0,0,1
42.0,500,50,2004.0,24.0,0,0,0,0,1
33.0,500,62,2018.0,12.0,0,1,0,0,0
19.0,300,43,2008.0,12.0,0,0,0,0,1
19.0,200,30,2010.0,12.0,0,1,0,0,0
53.54,700,50,2002.0,24.0,0,0,0,0,1
55.0,1000,85,2019.0,24.0,0,0,0,0,1
39.9,500,65,1993.0,12.0,0,0,0,0,1
16.0,300,36,2017.0,13.0,0,0,0,0,1
22.13,300,42,2002.0,12.0,0,0,0,0,1
19.22,300,47,2002.0,12.0,0,1,0,0,0
21.45,300,50,2002.0,12.0,0,1,0,0,0
21.45,300,50,2002.0,12.0,0,1,0,0,0
38.02,500,35,2002.0,24.0,0,0,0,0,1
16.0,300,42,2020.0,12.0,0,0,1,0,0
45.4,500,60,2002.0,12.0,0,0,1,0,0
21.0,300,30,2002.0,12.0,0,0,0,0,1
30.0,300,44,2002.0,12.0,0,0,0,0,1
15.0,300,35,1996.0,13.0,0,1,0,0,0
15.0,300,31,1997.0,7.0,0,1,0,0,0
21.0,300,55,1997.0,12.0,0,0,0,1,0
21.45,300,42,2002.0,12.0,0,1,0,0,0
21.0,300,46,2020.0,12.0,0,1,0,0,0
28.0,500,57,2002.0,12.0,0,1,0,0,0
17.0,300,35,2018.0,12.0,0,0,0,0,1
49.0,1000,45,2015.0,12.0,0,0,0,0,1
28.0,500,57,1977.0,12.0,0,1,0,0,0
28.0,500,57,1977.0,12.0,0,1,0,0,0
16.0,300,50,2017.0,12.0,0,0,0,0,1
40.0,200,30,2003.0,24.0,0,1,0,0,0
39.6,300,50,2004.0,24.0,0,0,0,0,1
40.0,300,35,1998.0,24.0,0,0,0,0,1
25.0,300,40,1997.0,12.0,0,0,1,0,0
20.0,300,40,1997.0,12.0,0,1,0,0,0
