NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
57,인천광역시 미추홀구 용현동,1**,8m미만,20.0,월세,202602,22,300,45,2002.0,인하로67번길,202602~202701,신규,-,,,단독다가구
58,인천광역시 미추홀구 용현동,4*,12m미만,20.0,월세,202602,22,200,30,2015.0,인하로134번길,-,-,-,,,단독다가구
59,인천광역시 미추홀구 용현동,4*,8m미만,14.88,월세,202602,21,300,40,,한나루로463번길,202602~202701,신규,-,,,단독다가구
60,인천광역시 미추홀구 용현동,1**,12m미만,25.0,전세,202602,21,"4,000",0,2001.0,경인남길,202602~202701,신규,-,,,단독다가구
61,인천광역시 미추홀구 용현동,1**,12m미만,18.0,월세,202602,21,300,40,1996.0,경인남길,202602~202702,신규,-,,,단독다가구
62,인천광역시 미추홀구 용현동,6**,8m미만,20.0,월세,202602,21,300,39,2016.0,낙섬중로59번길,202603~202802,신규,-,,,단독다가구
63,인천광역시 미추홀구 용현동,1**,8m미만,25.0,월세,202602,21,300,40,2001.0,인하로67번길,202602~202702,신규,-,,,단독다가구
64,인천광역시 미추홀구 용현동,9*,12m미만,45.0,월세,202602,21,500,71,2016.0,한나루로489번길,202603~202701,신규,-,,,단독다가구
65,인천광역시 미추홀구 용현동,1**,8m미만,25.0,월세,202602,20,300,37,2001.0,인하로67번길,202602~202702,신규,-,,,단독다가구
66,인천광역시 미추홀구 용현동,1**,12m미만,21.45,월세,202602,20,300,45,2002.0,인하로47번길,202602~202701,신규,-,,,단독다가구
67,인천광역시 미추홀구 용현동,1**,8m미만,20.0,월세,202602,20,150,35,2002.0,경인남길30번길,202602~202701,신규,-,,,단독다가구
68,인천광역시 미추홀구 용현동,6**,8m미만,54.16,월세,202602,20,"1,000",55,2014.0,낙섬서로18번길,202603~202803,신규,-,,,단독다가구
69,인천광역시 미추홀구 용현동,8*,8m미만,20.0,월세,202602,20,200,30,2004.0,한나루로463번길,202602~202702,신규,-,,,단독다가구
70,인천광역시 미추홀구 용현동,1**,12m미만,18.2,월세,202602,20,300,47,2018.0,인하로47번길,202602~202701,신규,-,,,단독다가구
71,인천광역시 미추홀구 용현동,6**,12m미만,18.0,월세,202602,19,500,36,2019.0,토금북로27번길,202602~202702,신규,-,,,단독다가구
